,ID,longitude,latitude,pile_num,perimeter,area
0,0,-46.676996,-23.601922,1,230.40862876321495,4209.171193121619
1,1,-46.676065,-23.601637,1,230.408362001545,4209.162045112784
2,2,-46.6865861514,-23.6255339721,1,230.43074475594162,4209.929596539074
3,3,-46.6903472431,-23.5981308405,1,230.40508056927203,4209.049515188861
4,4,-46.62031653023333,-23.554414115700002,1,230.36422090056794,4207.648258585001
5,5,-46.6612740814,-23.5703078884,1,230.3790641739817,4208.15731191964
6,6,-46.7311416743,-23.5410468212,1,230.35174753038785,4207.220470467936
7,7,-46.7249511219,-23.5841361852,1,230.39198943690621,4208.60057492978
8,8,-46.722238937499995,-23.5506453687,1,230.36070322240954,4207.527616927621
9,10,-46.6,-23.5735,1,230.3820469259851,4208.259604320179
10,11,-46.67683643,-23.58528567,1,230.3930643144708,4208.637436624951
11,12,-46.601,-23.57241,1,230.38102835466057,4208.224672850733
12,13,-46.6005,-23.57241,1,230.38102835363674,4208.2246728115715
13,14,-46.6,-23.57241,1,230.3810283547313,4208.224672853989
14,15,-46.601,-23.5735,1,230.38204692591438,4208.259604316922
15,16,-46.599,-23.5735,1,230.38204692508756,4208.2596042852865
16,17,-46.6891148879,-23.5747088158,1,230.38317660173917,4208.298345988519
17,18,-46.6968739449,-23.6118867382,1,230.41795853922804,4209.491134451897
18,19,-46.69007632485,-23.577945028450003,1,230.38620132345443,4208.402076905328
19,20,-46.68985240995,-23.57833924335,1,230.3865698140188,4208.4147140131345
20,21,-46.6794198425,-23.5833235205,1,230.39122955912723,4208.574515742519
21,22,-46.7210492326,-23.6387237018,1,230.44311178035963,4210.353673621116
22,23,-46.6974334441,-23.6127331322,1,230.41875124415114,4209.5183180225185
23,24,-46.7160554055,-23.6333352808,1,230.43805833789136,4210.180387457118
24,25,-46.7161203582,-23.6340000326,1,230.43868168104441,4210.201762432584
25,26,-46.6373712833,-23.5931539261,1,230.40042377898274,4208.8898190114305
26,27,-46.6765007208,-23.59868537,1,230.40559951363022,4209.067311361652
27,28,-46.672044,-23.513187,1,230.32578135811002,4206.329899041155
28,29,-46.731663741,-23.529917508,1,230.34136973182402,4206.864544558517
29,31,-46.6775013295,-23.5930153175,1,230.4002941043612,4208.885372033704
30,32,-46.692031876,-23.5697017338,1,230.37849783641704,4208.137889509559
31,33,-46.64600287505,-23.57047536185,2,298.56737734316533,6527.514736444255
32,34,-46.6518714652,-23.5674715424,1,230.37641430959223,4208.066435288846
33,35,-46.6515394998,-23.5677774275,1,230.37670006327286,4208.076235181769
34,36,-46.6960015722,-23.5752536254,1,230.38368576780886,4208.315807558084
35,37,-46.6728071218,-23.5843969162,1,230.39223323880233,4208.608935841994
36,38,-46.6853103648,-23.5310004013,1,230.3423792129645,4206.899166901946
37,39,-46.6806133758,-23.5485232991,1,230.35872285391977,4207.459698205073
38,40,-46.6843797937,-23.5647244522,1,230.37384824228027,4207.978432033283
39,41,-46.7036006436,-23.5710349201,1,230.37974347466644,4208.180608337476
40,42,-46.6575604034,-23.5231427072,1,230.33505562991328,4206.6479872380905
41,43,-46.6577964366,-23.5233714242,1,230.33526875396802,4206.655296882699
42,44,-46.680436273249995,-23.59143175245,2,304.5465193669384,6765.644582038384
43,45,-46.6526472311,-23.5454321631,1,230.35583855896203,4207.360777969196
44,46,-46.6547146631,-23.5520078549,1,230.36197485374973,4207.571228660546
